Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
10,3,2,2,0,508,1,3,0
10,3,2,1,0,4074,3,3,0
10,3,2,3,0,304,3,3,0
10,3,2,2,0,244,3,3,0
10,3,2,2,1,672,3,3,0
10,3,2,2,0,3679559,3,3,0
10,3,2,3,0,881,3,3,0
10,3,2,2,0,74390,3,3,0
10,3,2,1,0,625,1,3,0
10,3,2,3,0,417,3,3,0
10,3,2,1,0,1548,1,3,1
10,3,2,3,1,864,1,3,0
10,3,2,1,0,186728,3,3,0
10,3,2,2,0,650,3,2,0
10,3,2,1,0,434,3,3,0
10,3,2,1,0,888,3,3,1
10,3,2,4,0,1389,1,3,0
10,3,2,4,1,614,2,3,1
10,3,2,1,0,222,3,3,0
10,3,2,4,0,699,1,3,0
10,3,2,1,0,456,3,3,0
10,3,2,2,0,423,1,3,0
10,3,2,1,0,415,1,3,1
10,3,2,1,0,1139247,1,3,0
10,3,2,2,0,61329157,1,3,0
10,3,2,1,0,657,3,3,0
10,3,2,2,0,476,1,3,0
10,3,2,2,0,94355936,1,3,0
10,3,2,4,1,302,1,3,0
10,3,2,3,1,42170987,3,3,0
10,3,2,1,0,493,1,3,0
10,3,2,1,0,645593,1,3,0
10,3,2,1,0,26836863,3,3,0
10,3,2,3,0,978,3,3,0
10,3,2,3,0,409,3,3,0
10,3,2,4,0,89323,3,3,0
10,3,2,1,1,348,1,3,0
10,3,2,3,0,561,3,3,0
10,3,2,1,0,4959,3,3,0
10,3,2,1,0,1548,2,3,0
10,3,2,1,0,242,3,3,1
10,3,2,1,0,772,3,3,1
10,3,2,4,0,1124644,3,3,1
10,3,2,5,0,528,1,3,0
10,3,2,1,0,90502,3,3,0
10,3,2,1,0,541,1,3,0
10,3,2,4,1,1719804,3,3,0
10,3,2,3,1,326,1,3,0
10,3,2,1,0,1193463,1,3,0
10,3,2,2,0,456,1,3,0
10,3,2,1,0,354,3,3,1
10,3,2,5,0,61332,1,3,0
10,3,2,2,0,661,1,3,0
10,3,2,2,0,264,3,3,0
10,3,2,4,0,163939,3,3,0
10,3,2,4,0,527,3,3,0
10,3,2,1,0,1008,3,3,0
10,3,2,1,0,232,1,3,0
10,3,2,2,0,529,3,3,0
10,3,2,2,0,78430323,1,3,0
10,3,2,4,1,481270,1,3,2
10,3,2,4,1,577,1,3,0
10,3,2,4,1,445,1,3,0
10,3,2,1,1,782,3,3,0
9,20,2,1,0,526,1,3,0
8,21,2,1,0,1587415,1,3,0
10,11,2,2,0,5192329,1,3,0
10,11,2,1,1,3341032,3,3,0
10,11,2,2,0,906,1,3,0
0,12,2,1,0,678,1,2,0
10,12,2,2,1,569612,1,3,0
10,12,2,3,0,328,1,3,0
10,12,2,2,0,13557417,1,3,0
10,12,2,2,0,176582,1,3,0
10,12,2,2,0,10154566,1,3,0
10,12,2,3,0,485,1,3,0
10,12,2,3,0,531,1,3,0
10,12,2,2,0,4873998,1,3,0
10,22,2,3,0,281,1,3,0
0,4,2,1,0,882,1,3,0
0,4,2,2,0,443,1,3,0
1,4,2,2,0,16616,1,3,0
1,4,2,2,0,88453257,1,3,1
1,4,2,2,0,41195,1,3,0
4,4,2,1,1,10099,3,3,0
7,4,2,2,0,611197,1,3,1
8,4,2,2,0,445,1,3,0
8,4,2,2,0,423,1,3,0
8,4,2,1,0,5705119,1,3,1
9,4,2,2,0,696,1,3,0
10,4,2,2,0,988,1,3,0
10,4,2,1,1,25539,1,3,0
10,4,2,2,0,9804,1,3,0
10,4,2,2,1,7929595,1,3,0
10,4,2,2,0,495,1,3,0
10,4,2,2,0,20082,1,3,0
10,4,2,2,0,779,1,3,0
10,4,2,2,0,442,1,3,0
10,4,2,2,0,5816,1,3,0
10,4,2,2,0,3673255,1,3,0
10,4,2,2,0,7599044,1,3,0
10,4,2,1,0,72515075,1,3,0
10,4,2,2,0,538582,1,3,0
10,4,2,1,0,687,1,3,0
10,4,2,1,1,2928838,3,3,1
10,4,2,2,0,16679,1,3,0
10,4,2,1,0,702,1,3,0
10,4,2,2,0,570,1,3,0
10,4,2,2,0,468,1,3,0
10,4,2,2,0,690,1,3,0
10,4,2,2,0,434,2,3,0
10,4,2,1,0,1213958,1,3,1
10,4,2,1,0,4590,3,3,0
10,4,2,1,0,518,1,3,0
10,4,2,2,0,546,1,3,0
10,4,2,2,0,35470070,1,3,0
10,4,2,2,0,396,1,3,0
10,4,2,2,0,1122,1,3,0
10,4,2,2,0,601,1,3,0
7,13,2,1,0,91318838,1,3,0
10,13,2,6,1,195815,1,3,0
10,13,2,1,1,3532,1,3,1
10,13,2,5,1,26069,1,2,0
10,13,2,1,0,569,3,3,0
10,13,2,5,1,731,1,3,0
1,14,2,1,0,31207,1,3,0
9,15,2,2,0,708,1,3,0
10,15,2,1,0,852789,1,3,0
10,15,2,1,1,296,2,3,0
10,15,2,2,0,1480,1,3,0
0,6,2,1,0,260,1,3,0
2,6,2,3,0,385,1,3,0
2,6,2,1,0,787,3,3,0
4,6,2,3,1,406,1,2,0
5,6,2,1,0,332,3,3,0
6,6,2,5,0,1175,1,3,0
7,6,2,3,0,2801,1,3,0
7,6,2,3,0,251,1,3,0
8,6,2,1,0,2312769,3,3,113
8,6,2,5,0,2525,1,3,0
10,6,2,3,0,1122619,3,3,1
10,6,2,3,0,1072,1,3,1
10,6,2,3,0,441613,1,3,0
10,6,2,3,0,15571,1,3,1
10,6,2,3,0,4800708,3,3,0
10,6,2,3,0,636,2,3,0
10,6,2,3,1,850,1,3,0
10,6,2,3,0,728,1,3,0
10,6,2,3,0,242952,1,3,0
10,6,2,5,0,3352527,1,3,0
10,6,2,1,0,283,1,3,0
10,6,2,3,1,15460618,1,3,0
10,6,2,5,1,341,1,3,16
10,6,2,3,0,305,1,3,0
10,6,2,3,0,396,1,3,0
10,6,2,3,0,269,1,3,0
10,6,2,3,1,96253,1,3,0
6,7,2,4,0,1017,1,3,0
8,7,2,4,0,174010,2,3,0
9,7,2,4,0,706415,1,3,0
9,7,2,4,0,1494,1,3,0
10,7,2,4,0,909,1,3,1
